Company Name,Addresses
"Acquia, Inc","600 Congress Ave Austin, TX 78701 | 53 State Street, 10th Floor Boston, MA 02109 | 1120 NW Couch St. Suite 550 Portland, OR 97209 | 1775 Tyson s Blvd McLean, VA 22102 | 451 El Camino Real Suite 235 Santa Clara, CA 95050 | 91 20 7127 9046 | 44 1865 520 010"
Acquire Media,"7900 International DriveSuite 800Bloomington, MN 55425 USA+1.651.639.0662info@navigaglobal.comFlorida6767 North Wickham RoadSuite 111Melbourne, FL 32940+1.321.254.5559Florida302 Knights Run AvenueSuite 940Tampa, FL 33602+1.813.221.1600Arizona14614 N. Kierland BlvdSuite 320Scottsdale, AZ 85254+1.602.674.5800Michigan173 Parkland PlazaSuite BAnn Arbor, MI 48103+ 1.734.887.4400MinnesotaNaviga Headquarters7900 International DriveSuite 800Bloomington, MN 55425+1.651.639.0662Minnesota1652 Greenview DriveSuite 220Rochester, MN 55902New Jersey3 Becker Farm RdSuite 401Roseland, NJ 07068+ 1.973.422.0800Texas5625 FM 1960 Road WestSuite 503Houston, TX 77069+1.281.537.6060Utah350 South 400 West Suite 100Lindon, UT 84042+1.801.853.5000Office LocationsEuropeDenmarkVisionsvej 519000 Aalborg, Denmark+45 96 31 42 00England4th Floor, 1   3 Mortimer StreetLondon W1T 3JA+44 (0) 207 4360070FinlandPieni Roobertinkatu 900130 Helsinki+358 400 899 637SwedenBerga Alle 1254 52 Helsingborg, Sweden+46 42 25 39 00SwedenS dra L nggatan 31392 | 7900 International DriveSuite 800Bloomington, MN 55425 USA+1.651.639.0662info@navigaglobal.comFlorida6767 North Wickham RoadSuite 111Melbourne, FL 32940+1.321.254.5559Florida302 Knights Run AvenueSuite 940Tampa, FL 33602+1.813.221.1600Arizona14614 N. Kierland BlvdSuite 320Scottsdale, AZ 85254+1.602.674.5800Michigan173 Parkland PlazaSuite BAnn Arbor, MI 48103+ 1.734.887.4400MinnesotaNaviga Headquarters7900 International DriveSuite 800Bloomington, MN 55425+1.651.639.0662Minnesota1652 Greenview DriveSuite 220Rochester, MN 55902New Jersey3 Becker Farm RdSuite 401Roseland, NJ 07068+ 1.973.422.0800Texas5625 FM 1960 Road WestSuite 503Houston, TX 77069+1.281.537.6060Utah350 South 400 West Suite 100Lindon, UT 84042 | 7900 International DriveSuite 800Bloomington, MN 55425  | 7900 International DriveSuite 800Bloomington, MN 55425 USA+1.651.639.0662info@navigaglobal.comFlorida6767 North Wickham RoadSuite 111Melbourne, FL 32940+1.321.254.5559Florida302 Knights Run AvenueSuite 940Tampa, FL 33602+1.813.221.1600Arizona14614 N. Kierland BlvdSuite 320Scottsdale, AZ 85254+1.602.674.5800Michigan173 Parkland PlazaSuite BAnn Arbor, MI 48103+ 1.734.887.4400MinnesotaNaviga Headquarters7900 International DriveSuite 800Bloomington, MN 55425+1.651.639.0662Minnesota1652 Greenview DriveSuite 220Rochester, MN 55902New Jersey3 Becker Farm RdSuite 401Roseland, NJ 07068+ 1.973.422.0800Texas5625 FM 1960 Road WestSuite 503Houston, TX 77069+1.281.537.6060Utah350 South 400 West Suite 100Lindon, UT 84042+1.801.853.5000Office LocationsEuropeDenmarkVisionsvej 519000 Aalborg, Denmark+45 96 31 42 00England4th Floor, 1   3 Mortimer StreetLondon W1T 3JA+44 (0) 207 4360070FinlandPieni Roobertinkatu 900130 Helsinki+358 400 899 637SwedenBerga Alle 1254 52 Helsingborg, Sweden+46 42 25 39 00SwedenS dra L nggatan 31392 32 KALMAR+46 480 36 20 00Office LocationsAsia PacificAustraliaSuite 5A49-51 Eton StreetSutherland NSW 2232+61 (0)2 9810 6939ExploreContentAudienceAdvertisingCommerceContent as a ServiceCustomer PortalAboutCompanyCareersNews & EventsBlogSupportContact UsEnglishPrivacy PolicyAnti-Slavery PolicyCopyright   2019 N"
Acrolinx GmbH,"1601 Trapelo Road, Suite 240  Waltham, MA 02451 | 1 866 749 3700                                                               | 49 30 288 848 330  | 81 (3) 5789 5973                                                              "
"Act-On Software, Inc.","121 SW Morrison St.Suite 1600Portland, OR 97204 | 44 1189 515680  | 1 (877) 530-1555  | 33 King s Rd, Reading RG1 3AR | 44 1189 515680"
Akamai Technologies,1 877 425 2832  | 1 617 444 4699  | 55 4302-6060  | 54 11 5277 3923  | 56 2 2665 9660  | 52 55 4123 5168  | 1 954 228 1900 
"Amazon.com, Inc.",1 million to a new Seattle Foundation fund for community members affected by COVID
"Apple, Inc.","One Apple Park Way      Cupertino, CA 95014"
"Aptara, Inc.","2901 Telestar Court, Suite 522 Falls Church, VA 22042 | 150 California Street, Suite 301 Newton, MA 02458 | 61 2 8251 0070 | 1009 Metric Boulevard Bldg. J Suite 150 Austin, TX  78758"
Aquafadas,"1025 rue Henri Becquerel, Parc Club Mill naire B timent 3, 34000 | 04 67 99 51 59 | 1025 rue Henri Becquerel, Parc Club Mill naire B timent 3, 34000 M | 92 rue R aumur   75002 P | 2006 - 2019"
"Aria Systems, Inc.","100 Pine Street, Suite 2450 San Francisco, CA 94111 | 600 Reed Road, Suite 302 Broomall, PA 19008 | 100 Pine Street, Suite 2450 San Francisco, CA 94111   Map Phone: +1 415-852-7250 Fax: +1 415-852-7251 Toll Free: 1-877-755-2370    600 Reed Road, Suite 302 Broomall, PA 19008 | 2450 San Francisco, CA 94111  | 100 Pine Street, Suite 2450 San Francisco, CA 94111   Map Phone: +1 415-852-7250 Fax: +1 415-852-7251 Toll Free: 1-877-755-2370  | 600 Reed Road, Suite 302 Broomall, PA 19008   Map Phone: +1 484-427-8200 Fax: +1 484-427-8201 Toll Free: 1-866-933-ARIA  | 100 Pine Street, Suite 2450 San Francisco, CA 94111   Map Phone: +1 415-852-7250 Fax: +1 415-852-7251 Toll Free: 1-877-755-2370    600 Reed Road, Suite 302 Broomall, PA 19008 "
Atex,"Wells United Kingdom Unit A, Underwood Business Park Wookey Hole Road Wells, BA5 1AF United Kingdom | 7 worldwide support optionsAtex Contact UsWant more info? Get in touchAbout UsA company with an history, read moreLeadershipA multi-national, multi-talented teamCareersLet's make publishing great again, togetherCustomersWho's using Atex products?Solutions Content ManagementMulti-Channel Content AuthoringEasy to use digital and print content creationDigital PublishingWeb Site and FrontEnd managementHeadless CMSAPI-first, cloud based, content managementPrint ProductionFrom daily tabloids to glossy magazinesAsset ManagementStore, search and use millions of recordsProduction AnalyticsControl and improveAdvertisingMultichannel BookingMake the most of your sales repsCRMPowerful customer managementAdv ProductionWeb based advertisment productionFinancialCredit control, invoicing and accountingInsightsThe help you need to improve revenuesArtificial Intelligence for PublishersText AnalyticsUnleash the hidden opportunities in your contentIntelligent Image TaggingAutomatic features and content detectionProducts DeskAll in one solution for digital and print productionACEAPI-First Content Management SystemInsightsData consolidation and analysisAdvertisingAd booking and ad productionResources NewsYou've heard it from usStoriesTales from the publishing worldWebinars/EventsLive streamings and live meetingsServices Instant-On SolutionsSAAS  | 46 8 506 782 00 | 44 (0) 208 626 4516 | 39 02 698 2 381 | 358 40 576 4184 | 55 (11) 3818 | 61 3 9016 4700 | 65 6320 8309"
"Atypon Systems, Inc.","5201 Great America Parkway Suite 215 Santa Clara, CA 95054 T +1 408 988 1240 F +1 408 988 1070United States111 River Street Hoboken, NJ 07030 T +1 212 364 2330101 Station Landing, Suite 300 Medford, MA 02155 T +1 617 932 1932EuropeLeoforos Ethnikis Antistaseos 39A Nea Ionia 142 34 Greece T +30 211 013 3003 T +30 211 700 6031Vasilissis Olgas 212 Building B, ground floor Thessaloniki, 55133 Greece T +30 231 124 2614 kr tova 490/12 Vinohrady 120 00 Prague 2 Czech Republic9600 Garsington Road Oxford, OX4 2DQ United Kingdom T +44 1865 476602Middle East141 Makkah Al Mukaramah Street Hamadani 1 Complex, 3rd Floor Amman 11181 | 5201 Great America Parkway Suite 215 Santa Clara, CA 95054 T +1 408 988 1240 F +1 408 988 1070United States111 River Street Hoboken, NJ 07030 T +1 212 364 2330101 Station Landing, Suite 300 Medford, MA 02155 | 5201 Great America Parkway Suite 215 Santa Clara, CA 95054 T +1 408 988 1240 F +1 408 988 1070United States111 River Street Hoboken, NJ 07030 T +1 212 364 2330101 Station Landing, Suite 300 Medford, MA 02155  | 5201 Great America Parkway Suite 215 Santa Clara, CA 95054 T +1 408 988 1240 F +1 408 988 1070United States111 River Street Hoboken, NJ 07030 T +1 212 364 2330101 Station Landing, Suite 300 Medford, MA 02155 T +1 617 932 1932EuropeLeoforos Ethnikis Antistaseos 39A Nea Ionia 142 34 Greece T +30 211 013 3003 T +30 211 700 6031Vasilissis Olgas 212 Building B, ground floor Thessaloniki, 55133 Greece T +30 231 124 2614 kr tova 490/12 Vinohrady 120 00 Prague 2 Czech Republic9600 Garsington Road Oxford, OX4 2DQ United Kingdom T +44 1865 476602Middle East141 Makkah Al Mukaramah Street Hamadani 1 Complex, 3rd Floor Amman 11181 Jordan T +962 6 551 9262Where do you want to go?Let us help you move your online publishing business in the right direction.  Contact Us     HomePlatformServicesTechnologiesCustomersSupportAbout UsCareersNews & EventsContact UsLocations    Atypon Systems, LLC "
"Automattic, Inc.","60 29th Street #343 San Francisco, CA 94110"
